Address of main() function: 00E312F8
Address of global var: 00E3B140
Address of local var in main(): 0038F6B8
Address of static local variable: 00E3B150
Addr of local variables (in recursive level 860): auto_y: 00304CA4,  static_y: 00E3B154, dynamicArray: 007C32A0, memory usage (1679360), memory increment (   8192)
Addr of local variables (in recursive level 870): auto_y: 003032DC,  static_y: 00E3B154, dynamicArray: 007C4470, memory usage (1687552), memory increment (   8192)
Addr of local variables (in recursive level 880): auto_y: 00301914,  static_y: 00E3B154, dynamicArray: 007C5640, memory usage (1691648), memory increment (   4096)
Addr of local variables (in recursive level 890): auto_y: 002FFF4C,  static_y: 00E3B154, dynamicArray: 007C6810, memory usage (1699840), memory increment (   8192)
Addr of local variables (in recursive level 900): auto_y: 002FE584,  static_y: 00E3B154, dynamicArray: 007C79E0, memory usage (1708032), memory increment (   8192)
Addr of local variables (in recursive level 910): auto_y: 002FCBBC,  static_y: 00E3B154, dynamicArray: 007C8D38, memory usage (1744896), memory increment (  36864)
Addr of local variables (in recursive level 920): auto_y: 002FB1F4,  static_y: 00E3B154, dynamicArray: 007C9F08, memory usage (1753088), memory increment (   8192)
Addr of local variables (in recursive level 930): auto_y: 002F982C,  static_y: 00E3B154, dynamicArray: 007CB0D8, memory usage (1757184), memory increment (   4096)
Addr of local variables (in recursive level 940): auto_y: 002F7E64,  static_y: 00E3B154, dynamicArray: 007CC2A8, memory usage (1765376), memory increment (   8192)
Addr of local variables (in recursive level 950): auto_y: 002F649C,  static_y: 00E3B154, dynamicArray: 007CD478, memory usage (1773568), memory increment (   8192)
Addr of local variables (in recursive level 960): auto_y: 002F4AD4,  static_y: 00E3B154, dynamicArray: 007CE648, memory usage (1777664), memory increment (   4096)
Addr of local variables (in recursive level 970): auto_y: 002F310C,  static_y: 00E3B154, dynamicArray: 007CF818, memory usage (1785856), memory increment (   8192)
Addr of local variables (in recursive level 980): auto_y: 002F1744,  static_y: 00E3B154, dynamicArray: 007D0B70, memory usage (1822720), memory increment (  36864)
Addr of local variables (in recursive level 990): auto_y: 002EFD7C,  static_y: 00E3B154, dynamicArray: 007D1D40, memory usage (1830912), memory increment (   8192)
Addr of local variables (in recursive level 1000): auto_y: 002EE3B4,  static_y: 00E3B154, dynamicArray: 007D2F10, memory usage (1839104), memory increment (   8192)
Addr of local variables (in recursive level 1010): auto_y: 002EC9EC,  static_y: 00E3B154, dynamicArray: 007D40E0, memory usage (1843200), memory increment (   4096)
Addr of local variables (in recursive level 1020): auto_y: 002EB024,  static_y: 00E3B154, dynamicArray: 007D52B0, memory usage (1851392), memory increment (   8192)
Addr of local variables (in recursive level 1030): auto_y: 002E965C,  static_y: 00E3B154, dynamicArray: 007D6480, memory usage (1855488), memory increment (   4096)
Addr of local variables (in recursive level 1040): auto_y: 002E7C94,  static_y: 00E3B154, dynamicArray: 007D7650, memory usage (1863680), memory increment (   8192)
Addr of local variables (in recursive level 1050): auto_y: 002E62CC,  static_y: 00E3B154, dynamicArray: 007D89A8, memory usage (1904640), memory increment (  40960)
Addr of local variables (in recursive level 1060): auto_y: 002E4904,  static_y: 00E3B154, dynamicArray: 007D9B78, memory usage (1908736), memory increment (   4096)
Addr of local variables (in recursive level 1070): auto_y: 002E2F3C,  static_y: 00E3B154, dynamicArray: 007DAD48, memory usage (1916928), memory increment (   8192)
Addr of local variables (in recursive level 1080): auto_y: 002E1574,  static_y: 00E3B154, dynamicArray: 007DBF18, memory usage (1925120), memory increment (   8192)
Addr of local variables (in recursive level 1090): auto_y: 002DFBAC,  static_y: 00E3B154, dynamicArray: 007DD0E8, memory usage (1929216), memory increment (   4096)
Addr of local variables (in recursive level 1100): auto_y: 002DE1E4,  static_y: 00E3B154, dynamicArray: 007DE2B8, memory usage (1937408), memory increment (   8192)
Addr of local variables (in recursive level 1110): auto_y: 002DC81C,  static_y: 00E3B154, dynamicArray: 007DF488, memory usage (1941504), memory increment (   4096)
Addr of local variables (in recursive level 1120): auto_y: 002DAE54,  static_y: 00E3B154, dynamicArray: 007E07E0, memory usage (1982464), memory increment (  40960)
Addr of local variables (in recursive level 1130): auto_y: 002D948C,  static_y: 00E3B154, dynamicArray: 007E19B0, memory usage (1990656), memory increment (   8192)
Addr of local variables (in recursive level 1140): auto_y: 002D7AC4,  static_y: 00E3B154, dynamicArray: 007E2B80, memory usage (1994752), memory increment (   4096)
Addr of local variables (in recursive level 1150): auto_y: 002D60FC,  static_y: 00E3B154, dynamicArray: 007E3D50, memory usage (2002944), memory increment (   8192)
Addr of local variables (in recursive level 1160): auto_y: 002D4734,  static_y: 00E3B154, dynamicArray: 007E4F20, memory usage (2007040), memory increment (   4096)
